Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.000,0,0.004202,2.000000,-0.002706,2.000000,-0.071178,2.000000,-0.003170,2.000000,-0.069232,2.000000,0.027948,2.000000,-0.036232,2.000000,0.000322,0.000645,0.000322,-0.000322,-0.000322,0.000322
0.010,0,0.000000,2.000000,-0.002706,2.000000,0.030947,2.000000,-0.003170,2.000000,0.017308,2.000000,-0.004658,2.000000,-0.002787,2.000000,0.000000,-0.000322,0.000000,-0.001611,0.000000,0.001611
0.020,0,0.001401,2.000000,0.000000,2.000000,-0.003095,2.000000,-0.015850,2.000000,-0.002473,2.000000,-0.004658,2.000000,0.000000,2.000000,0.000000,-0.000322,-0.000322,-0.000645,0.000000,0.000000
0.030,0,0.000000,2.000000,-0.001353,2.000000,0.055705,2.000000,0.019019,2.000000,0.027198,2.000000,0.020961,2.000000,-0.078037,2.000000,0.000000,0.000000,0.000322,-0.001289,-0.000322,0.000967
0.040,0,0.007003,2.000000,-0.001353,2.000000,-0.003095,2.000000,-0.019019,2.000000,0.007418,2.000000,0.002329,2.000000,-0.005574,2.000000,0.000000,-0.000322,-0.000322,-0.000322,0.000322,0.000645
0.050,0,0.004202,2.000000,-0.002706,2.000000,0.074273,2.000000,-0.101437,2.000000,-0.066759,2.000000,-0.020961,2.000000,-0.036232,2.000000,-0.000645,0.000000,0.000322,-0.000322,0.000645,0.000000
0.060,0,-0.001401,2.000000,-0.010826,2.000000,0.015473,2.000000,-0.009510,2.000000,0.014835,2.000000,0.006987,2.000000,0.002787,2.000000,-0.000645,-0.000645,0.000645,0.000000,0.000000,0.000645
0.070,0,0.002801,2.000000,-0.001353,2.000000,-0.009284,2.000000,-0.022189,2.000000,0.009890,2.000000,0.009316,2.000000,-0.005574,2.000000,-0.000322,0.001289,0.000000,-0.000645,0.000322,0.001611
0.080,0,0.002801,2.000000,-0.004060,2.000000,0.043326,2.000000,0.019019,2.000000,0.032143,2.000000,0.018632,2.000000,0.013935,2.000000,0.000645,0.000000,0.000322,0.000322,0.000645,0.000645
0.090,0,0.008404,2.000000,-0.004060,2.000000,0.003095,2.000000,-0.012680,2.000000,0.014835,2.000000,0.000000,2.000000,-0.005574,2.000000,0.000645,-0.000322,0.000967,0.000322,0.000322,0.001934
0.100,0,0.005603,2.000000,-0.002706,2.000000,0.071178,2.000000,-0.104607,2.000000,-0.002473,2.000000,0.004658,2.000000,-0.033445,2.000000,0.000000,0.000322,0.000322,-0.000967,-0.000322,0.000000
0.110,0,0.001401,2.000000,-0.005413,2.000000,0.024758,2.000000,-0.006340,2.000000,0.024726,2.000000,0.018632,2.000000,0.000000,2.000000,0.000645,0.000322,0.001611,0.000000,0.000967,0.001289
0.120,0,0.001401,2.000000,-0.002706,2.000000,-0.003095,2.000000,-0.012680,2.000000,-0.002473,2.000000,-0.053567,2.000000,0.000000,2.000000,-0.000322,0.000000,0.000967,-0.000645,0.000645,0.000000
0.130,0,0.002801,2.000000,0.000000,2.000000,0.052610,2.000000,0.022189,2.000000,0.027198,2.000000,0.023290,2.000000,-0.002787,2.000000,0.000645,0.000967,0.000645,0.000000,0.000967,-0.000645
0.140,0,0.008404,2.000000,-0.002706,2.000000,0.012379,2.000000,-0.009510,2.000000,0.002473,2.000000,0.004658,2.000000,0.002787,2.000000,0.000967,0.000967,0.000322,-0.000645,0.000645,0.000322
0.150,0,0.005603,2.000000,0.002706,2.000000,0.061894,2.000000,0.003170,2.000000,-0.064287,2.000000,-0.009316,2.000000,-0.008361,2.000000,-0.000322,0.001289,0.000645,0.000322,0.000000,0.000645
0.160,0,0.001401,2.000000,-0.004060,2.000000,0.018568,2.000000,0.006340,2.000000,0.012363,2.000000,0.013974,2.000000,0.008361,2.000000,0.000645,0.000967,0.000000,-0.000322,0.000645,-0.000645
0.170,0,0.005603,2.000000,-0.004060,2.000000,-0.009284,2.000000,0.012680,2.000000,0.004945,2.000000,-0.069870,2.000000,0.005574,2.000000,0.000322,0.000967,0.001289,0.000322,0.000645,-0.000322
0.180,0,0.004202,2.000000,-0.001353,2.000000,0.040231,2.000000,0.031699,2.000000,0.032143,2.000000,0.020961,2.000000,-0.097547,2.000000,0.000000,0.001289,0.000322,0.000000,-0.000645,0.000967
0.190,0,0.008404,2.000000,-0.008119,2.000000,0.024758,2.000000,0.003170,2.000000,0.009890,2.000000,0.009316,2.000000,0.005574,2.000000,0.000322,0.001611,0.000645,0.000000,0.000000,0.000322
0.200,0,0.004202,2.000000,0.001353,2.000000,-0.058799,2.000000,-0.025359,2.000000,-0.037089,2.000000,0.002329,2.000000,0.000000,2.000000,0.000322,0.000645,0.001611,-0.001289,-0.000645,0.001289
0.210,0,0.002801,2.000000,-0.005413,2.000000,0.024758,2.000000,0.000000,2.000000,0.017308,2.000000,0.002329,2.000000,0.011148,2.000000,0.000322,0.000645,0.000322,-0.000967,-0.000322,-0.000645
0.220,0,0.009805,2.000000,-0.002706,2.000000,0.000000,2.000000,-0.003170,2.000000,0.000000,2.000000,-0.004658,2.000000,0.005574,2.000000,0.000322,0.000000,0.000967,-0.001611,0.000000,-0.000645
0.230,0,0.002801,2.000000,-0.002706,2.000000,0.058799,2.000000,0.019019,2.000000,0.027198,2.000000,0.023290,2.000000,-0.094760,2.000000,0.000645,0.000000,0.000322,-0.000967,-0.000322,-0.000322
0.240,0,0.012606,2.000000,-0.001353,2.000000,0.015473,2.000000,-0.015850,2.000000,0.012363,2.000000,0.004658,2.000000,0.011148,2.000000,0.000645,0.000645,0.000000,-0.000967,0.000322,-0.000645
0.250,0,0.004202,2.000000,0.001353,2.000000,-0.034042,2.000000,-0.101437,2.000000,0.012363,2.000000,0.006987,2.000000,-0.005574,2.000000,-0.000322,0.000645,-0.000967,-0.001289,0.000322,-0.000645
0.260,0,0.004202,2.000000,-0.002706,2.000000,0.012379,2.000000,-0.015850,2.000000,0.022253,2.000000,-0.002329,2.000000,-0.039019,2.000000,0.000645,-0.000322,0.000322,-0.000967,-0.000322,-0.000322
0.270,0,0.007003,2.000000,-0.001353,2.000000,-0.012379,2.000000,-0.003170,2.000000,-0.007418,2.000000,0.004658,2.000000,-0.027871,2.000000,-0.000322,0.000322,0.000000,-0.000645,-0.000645,0.000645
0.280,0,0.001401,2.000000,0.001353,2.000000,0.043326,2.000000,0.015850,2.000000,0.029671,2.000000,0.025619,2.000000,0.008361,2.000000,-0.000967,0.000000,-0.000322,-0.000967,-0.001289,-0.000967
0.290,0,0.000000,2.000000,0.000000,2.000000,0.003095,2.000000,-0.003170,2.000000,0.000000,2.000000,0.013974,2.000000,-0.002787,2.000000,-0.000645,0.000000,0.000000,-0.001934,0.000322,0.000645
0.300,0,0.004202,2.000000,0.002706,2.000000,0.064989,2.000000,-0.098267,2.000000,-0.059342,2.000000,0.016303,2.000000,-0.036232,2.000000,-0.000322,0.000000,0.000645,0.000000,0.000000,-0.000322
0.310,0,0.007003,2.000000,-0.002706,2.000000,0.018568,2.000000,-0.003170,2.000000,0.009890,2.000000,-0.006987,2.000000,0.002787,2.000000,-0.000967,-0.000645,-0.000322,-0.001611,0.000000,-0.000645
0.320,0,0.001401,2.000000,0.000000,2.000000,-0.015473,2.000000,-0.003170,2.000000,-0.007418,2.000000,-0.018632,2.000000,-0.016722,2.000000,-0.000322,-0.000967,-0.000322,-0.000322,0.000645,-0.000322
0.330,0,0.002801,2.000000,0.001353,2.000000,0.037136,2.000000,0.022189,2.000000,0.024726,2.000000,0.020961,2.000000,0.019509,2.000000,-0.001289,-0.000645,-0.000967,-0.000645,0.000000,0.000967
