Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.000,0,0.007003,2.000000,0.006766,2.000000,-0.015473,2.000000,0.012680,2.000000,0.086540,2.000000,0.000000,2.000000,0.027871,2.000000,-0.000645,0.001611,0.001289,0.000000,0.000967,0.000000
0.010,0,0.004202,2.000000,0.010826,2.000000,-0.068083,2.000000,-0.003170,2.000000,0.069232,2.000000,-0.009316,2.000000,0.122630,2.000000,-0.000322,0.002256,0.001289,-0.000645,0.000967,0.000967
0.020,0,0.002801,2.000000,0.009473,2.000000,-0.120693,2.000000,-0.012680,2.000000,0.046979,2.000000,-0.002329,2.000000,0.128204,2.000000,0.000645,0.001611,0.000322,-0.000645,0.000645,0.000000
0.030,0,0.004202,2.000000,0.000000,2.000000,-0.049515,2.000000,0.000000,2.000000,0.079122,2.000000,-0.006987,2.000000,0.119843,2.000000,0.000000,0.001934,0.000000,0.000000,0.000000,0.000645
0.040,0,0.004202,2.000000,0.002706,2.000000,-0.064989,2.000000,0.012680,2.000000,0.069232,2.000000,-0.004658,2.000000,0.108695,2.000000,0.000322,0.001611,0.001289,-0.000645,0.000645,0.000322
0.050,0,0.005603,2.000000,0.005413,2.000000,-0.021663,2.000000,0.006340,2.000000,0.093958,2.000000,0.025619,2.000000,0.142140,2.000000,-0.000645,0.001611,0.000645,-0.000967,0.000000,-0.000645
0.060,0,0.004202,2.000000,0.002706,2.000000,-0.043326,2.000000,-0.015850,2.000000,0.071705,2.000000,-0.006987,2.000000,0.114269,2.000000,0.000000,0.001289,0.000000,-0.001289,-0.000322,0.000645
0.070,0,0.004202,2.000000,0.006766,2.000000,-0.142356,2.000000,-0.110947,2.000000,0.046979,2.000000,-0.011645,2.000000,0.111482,2.000000,0.000322,0.001934,0.001934,-0.000645,-0.000322,0.000000
0.080,0,0.005603,2.000000,0.004060,2.000000,-0.037136,2.000000,-0.006340,2.000000,0.084067,2.000000,0.011645,2.000000,0.133779,2.000000,0.000000,0.001611,-0.000322,-0.000645,-0.000967,-0.000322
0.090,0,0.001401,2.000000,0.006766,2.000000,-0.089746,2.000000,-0.022189,2.000000,0.064287,2.000000,0.000000,2.000000,0.094760,2.000000,0.000000,0.001611,0.000645,-0.001934,-0.000322,-0.000322
0.100,0,0.004202,2.000000,0.008119,2.000000,-0.024758,2.000000,0.015850,2.000000,0.091485,2.000000,-0.093160,2.000000,0.130991,2.000000,0.000000,0.001289,0.000000,-0.000645,-0.000322,0.000322
0.110,0,0.008404,2.000000,0.004060,2.000000,-0.071178,2.000000,-0.019019,2.000000,0.069232,2.000000,-0.016303,2.000000,0.100334,2.000000,-0.000322,0.000967,0.000000,-0.001289,0.000000,0.000322
0.120,0,0.007003,2.000000,0.010826,2.000000,-0.006189,2.000000,-0.012680,2.000000,-0.009890,2.000000,-0.002329,2.000000,0.108695,2.000000,-0.000645,0.000967,-0.000645,-0.002256,0.000000,-0.000967
0.130,0,0.002801,2.000000,0.005413,2.000000,-0.049515,2.000000,0.006340,2.000000,0.069232,2.000000,0.013974,2.000000,0.125417,2.000000,0.000322,0.000322,0.000322,-0.000967,-0.000645,-0.000322
