FDP,FDS,EIP,EDC,LUM,DI,PI,L1,L2,L1W,L2W
1,1,1,1,1,1,1,3.763317047,1.684177197,373.175253,187.083204
0,0,0,0,0,0,0,0.234012057,0.104928138,21.9201374,11.41899507
0.279737923,0.133714967,0.403675602,0.925782457,0.469305422,0.30340925,0.259068746,2.774694366,1.222939701,275.4101338,140.373191
0.166176871,0.079612207,0.115879192,0.583200116,0.355145059,0.164645428,0.140815916,1.605474789,0.748711206,152.7470918,83.02387256
0.183747676,0.088400062,0.15799799,0.640238281,0.062392722,0.276479916,0.210029961,1.619286608,0.775172742,171.3611997,92.56518758
0.157653862,0.075988608,0.133543639,0.551001717,0.069776775,0.23634532,0.177215001,1.401524923,0.66648246,147.1129117,79.51830931
0.255137049,0.12128414,0.257924596,0.867130693,0.871906523,0.145733012,0.163626974,2.682742987,1.306322462,241.1784242,126.5366991
0.122753069,0.060576437,0.945949715,0.224724824,0.186037312,0.183009033,0.113241737,1.836292127,1.022245474,194.2611184,123.8214785
0.12928174,0.062634804,0.279260152,0.410958501,0.17400882,0.171063929,0.125219772,1.352427719,0.58543312,137.0058951,68.22520471
0.075729913,0.037730322,0.557286846,0.14832523,0.152383956,0.111586666,0.062882754,1.145925687,0.615917441,118.1132744,73.57728365
0.219951685,0.106349451,0.780641958,0.619097496,0.199129502,0.311169711,0.229617722,2.465957524,1.114260279,260.4736601,133.0952315
0.16887292,0.080382282,0.043241107,0.607493244,0.645028407,0.08131162,0.096773318,1.723102899,0.915388174,148.3080869,85.32946386
0.184723722,0.088000557,0.084877124,0.655480859,0.613486207,0.114569018,0.121060839,1.862198326,0.939613403,165.5461319,92.48833633
0.221903631,0.106693728,0.386583148,0.722478693,0.169046759,0.308094064,0.238150062,2.152950086,0.95512354,225.0175868,113.6801714
0.259903206,0.124719168,0.286927562,0.886707542,0.03701982,0.396862446,0.306248742,2.298388486,1.097424621,247.5456439,130.842689
0.15844717,0.075928259,0.556370362,0.441923176,0.883768388,0.015961595,0.043360888,2.175759837,1.148432054,187.9344862,95.94674575
0.076173242,0.036927188,0.146734327,0.246892176,0.422436606,0.018297841,0.020411197,0.967872578,0.518514034,79.96949856,40.18374464
0.205507503,0.098963298,0.55860369,0.618927577,0.341300468,0.240983433,0.189456823,2.253742792,0.978564974,227.4905377,113.1212767
0.325493109,0.156319776,0.813606167,0.995052534,0.262411244,0.443913088,0.347273004,3.344068922,1.472746823,352.3858019,175.6706838
0.214310648,0.103237414,0.923048814,0.558429829,0.68915063,0.165646569,0.141958981,2.795782885,1.320215791,269.3483068,141.9830032
0.131301453,0.063595538,0.810980344,0.282038218,0.789940643,0.014175063,0.024997878,2.117029137,1.176159506,189.0188921,111.2876436
0.318336598,0.152426121,0.882478902,0.94719156,0.713809548,0.304763869,0.264337983,3.583344581,1.572511504,353.0481818,175.3828303
0.078936267,0.038699608,0.103671706,0.271797939,0.030346203,0.134879727,0.088204858,0.746536308,0.345317341,78.06667527,40.60508301
0.20219837,0.097632309,0.439312029,0.639388174,0.027680834,0.323244365,0.237246445,1.966702526,0.902090665,213.3408442,107.1030242
0.090830773,0.044176845,0.171061507,0.296579373,0.225544274,0.097399969,0.070422221,0.996014963,0.439021013,94.50125228,47.17902059
0.173287072,0.083571535,0.41820427,0.53644875,0.271037125,0.21046952,0.162299727,1.855317999,0.80236178,187.1424387,92.8967956
0.102370512,0.050468641,0.839297656,0.174082336,0.394667234,0.0892988,0.054611714,1.704796893,0.956279751,167.1711297,108.9774113
0.204430948,0.098736814,0.896383445,0.53073245,0.525069027,0.19843234,0.156957522,2.610742547,1.215084246,258.4549935,136.834759
0.273378673,0.131466411,0.525028457,0.877754798,0.046355291,0.422119854,0.320335621,2.596439104,1.192089165,281.2929491,141.9209583
0.14941764,0.071485485,0.055944214,0.53595328,0.42299791,0.118837852,0.109527411,1.464163791,0.723088791,133.0389269,75.25131895
0.163475776,0.078780585,0.756163223,0.412880867,0.769483999,0.063818501,0.067586274,2.312189225,1.173000627,210.9161072,113.3078127
0.161517879,0.077703254,0.080706407,0.577680171,0.093962168,0.232828436,0.178104492,1.402502806,0.683456585,145.4016118,81.7800815
0.228039767,0.108524869,0.39425775,0.734062054,0.972208025,0.083060329,0.113853402,2.634006195,1.312675174,231.2589939,116.0100238
0.217171325,0.10307369,0.206305357,0.740159584,0.976287033,0.059458192,0.100575262,2.403030442,1.270815765,204.4301442,108.1738324
0.076906366,0.038054503,0.521007728,0.160003574,0.282291426,0.074058351,0.043118713,1.195440662,0.62565585,115.7465123,69.85024351
0.149518336,0.071951208,0.583024681,0.404620691,0.72782348,0.049704982,0.05801314,2.044656519,1.032826955,182.862553,94.62079871
0.314517797,0.150747699,0.983076708,0.908555129,0.734278029,0.297104463,0.256030996,3.64431082,1.614480011,359.312112,179.9853862
0.296441937,0.14166436,0.698764879,0.911305023,0.786671301,0.245609156,0.226379104,3.30683576,1.468713351,317.3735267,156.995237
0.146825307,0.070475058,0.018417163,0.537909088,0.218585704,0.173327316,0.140021753,1.305561388,0.643146906,127.2356315,75.06664014
0.249179204,0.119520982,0.916637563,0.6852253,0.856378551,0.166223157,0.156886246,3.150051004,1.473689699,298.1508919,152.3913877
0.261266023,0.125915517,0.884693638,0.742940622,0.326194528,0.336705093,0.258613201,2.936328622,1.305914327,305.0761901,154.6896554
0.152485913,0.073984246,0.792292855,0.366924795,0.508539044,0.125581326,0.096927249,2.116735428,1.036756922,204.9554196,113.4989415
0.135552562,0.065089655,0.116354387,0.471349461,0.365419688,0.118155885,0.101948729,1.373870366,0.64514008,127.0351316,67.76066043
0.181939089,0.088176766,0.593661419,0.527148366,0.101727926,0.278606194,0.200024487,1.971284245,0.893966459,210.8573739,106.8126955
0.265900726,0.128171938,0.994180191,0.73226123,0.408903315,0.323250193,0.250334069,3.103001663,1.395023927,319.3154446,164.0936657
0.140209048,0.067432925,0.20881253,0.465741783,0.37182794,0.126333957,0.106262819,1.486621001,0.670993241,139.6562198,70.83025263
0.121083298,0.058459284,0.393771966,0.349334513,0.522199783,0.062201032,0.057803969,1.564853846,0.758335346,141.0409405,70.93104971
